"id","color_blind","yrs_english","video_games","device","headphones","order_of_levels","level1","sleep1","OffTime1","OnTime1","Total_runs_Stroop_Off1","Total_runs_Stroop_On1","OnTime_minus_OffTime1","level2","sleep2","OffTime2","OnTime2","Total_runs_Stroop_Off2","Total_runs_Stroop_On2","OnTime_minus_OffTime2","level3","sleep3","OffTime3","OnTime3","Total_runs_Stroop_Off3","Total_runs_Stroop_On3","OnTime_minus_OffTime3","distraction1","distraction2","distraction3","start_time1_hour","start_time2_hour","start_time3_hour"
51,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);","classical",7,61.011,68.933,11,11,7.922,"lyrics",5,60.08,63.202,6,6,3.121,"control",7,56.05,62.18,6,6,6.131,"classical","lyrics","control","evening","morning","evening"
52,"No",4,"No","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,64.646,68.636,5,5,3.992,"lyrics",8,65.343,70.544,5,5,5.201,"classical",8,65.637,69.957,5,5,4.32,"control","lyrics","classical","evening","evening","evening"
53,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,55.64,64.575,5,5,8.935,"lyrics",7,51.421,53.795,6,6,2.374,"classical",7,52.127,63.934,5,5,11.807,"control","lyrics","classical","afternoon","afternoon","afternoon"
54,"No",6,"Yes","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",10,64.852,60.342,5,5,-4.51,"classical",10,64.789,67.472,5,5,2.683,"lyrics",10,59.323,60.446,6,6,1.123,"control","classical","lyrics","evening","evening","evening"
55,"No",12,"No","iPhone / iPod","In-ear headphones; not noise cancelling","","control",7,62.161,78.418,5,5,16.257,"lyrics",7,60.98,86.616,6,6,25.636,"classical",7,68.801,78.9,6,6,10.099,"","","","afternoon","afternoon","afternoon"
56,"No",15,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",7,52.937,72.799,5,5,19.863,"lyrics",7,64.355,65.455,6,6,1.1,"classical",7,52.983,61.05,5,5,8.067,"control","lyrics","classical","morning","morning","morning"
57,"No",8,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","","control",6,49,52.736,6,6,2.836,"lyrics",6,42.085,42.732,6,6,0.648,"classical",6,43.058,52.059,11,11,9.002,"","","","afternoon","afternoon","afternoon"
58,"No",4,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",7,53.561,55.167,5,5,1.606,"classical",7,48.986,59.549,9,9,10.563,"control",7,48.6,63.107,5,5,14.507,"lyrics","classical","control","evening","evening","evening"
59,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",8,51.108,57.302,6,6,6.193,"classical",8,45.032,50.686,5,5,5.653,"control",8,46.593,45.332,6,6,-1.261,"lyrics","classical","control","afternoon","afternoon","afternoon"
60,"No",6,"No","Android phone","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",9,64.282,67.526,5,5,3.244,"classical",9,62.878,74.753,6,6,11.875,"control",9,59.464,67.308,7,7,7.844,"lyrics","classical","control","afternoon","afternoon","afternoon"
61,"No",18,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling","","control",6,47.787,52.47,5,5,4.683,"classical",6,43.332,47.893,6,6,4.561,"lyrics",6,43.393,50.888,5,5,7.495,"","","","afternoon","afternoon","afternoon"
62,"No",6,"No","iPhone / iPod","In-ear headphones; not noise cancelling","","control",9,63.706,62.831,8,8,-0.875,"classical",9,58.762,62.393,7,7,3.631,"lyrics",9,58.441,70.672,5,5,12.231,"","","","afternoon","afternoon","afternoon"
63,"No",4,"Yes","Android phone","In-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);","lyrics",6,53.741,58.63,5,5,4.889,"control",6,51.668,55.224,5,5,3.556,"classical",6,46.927,52.892,5,5,5.965,"lyrics","control","classical","morning","morning","morning"
64,"No",15,"No","iPhone / iPod","In-ear headphones; noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","lyrics",7,54.925,71.675,6,6,16.75,"classical",7,61.895,63.709,5,5,1.814,"control",9,55.649,68.191,5,5,12.543,"lyrics","classical","control","afternoon","evening","morning"
65,"No",16,"Yes","iPad tablet","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",9,60.732,68.133,8,8,7.401,"classical",9,55.163,61.198,6,6,6.035,"lyrics",9,50.501,60.396,8,8,9.895,"control","classical","lyrics","evening","evening","evening"
66,"No",15,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control",7,55.635,64.715,5,5,9.08,"classical",7,57.885,61.71,5,5,3.825,"lyrics",7,60.71,60.32,5,5,-0.389999999999993,"control","classical","lyrics","evening","afternoon","afternoon"
67,"No",6,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",9,62.486,69.903,6,6,7.417,"lyrics",9,55.643,67.244,5,5,11.601,"classical",9,56.125,62.655,5,5,6.53,"control","lyrics","classical","afternoon","afternoon","afternoon"
68,"No",4,"Yes","iPad tablet","In-ear headphones; noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);Control (quiet);","control",6,46.423,51.247,5,5,4.824,"lyrics",6,44.28,40.749,5,5,-3.532,"classical",6,40.698,44.014,6,6,3.316,"lyrics","classical","control","afternoon","afternoon","afternoon"
69,"No",4,"No","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);","classical",8,60.174,72.374,5,5,12.2,"control",8,61.929,61.739,5,5,-0.19,"lyrics",8,58.824,66.793,5,5,7.969,"classical","control","lyrics","evening","evening","evening"
70,"No",17,"Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",6,48.742,55.761,5,5,7.019,"lyrics",6,45.96,53.425,5,5,7.465,"classical",6,46.507,52.875,5,5,6.368,"control","lyrics","classical","evening","morning","morning"
71,"No",4,"Yes","iPhone / iPod","Over-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",8,51.193,57.235,7,7,6.042,"lyrics",8,47.983,56.477,9,9,8.494,"classical",8,46.76,51.594,7,7,4.834,"control","lyrics","classical","evening","afternoon","afternoon"
72,"No",18,"Yes","Android phone","Over-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","control",9,54.248,70.825,5,5,16.577,"lyrics",8,52.843,74.112,6,6,21.269,"classical",8,49.804,73.3,5,5,23.496,"control","lyrics","classical","evening","morning","morning"
