"","Have.you.ever.been.diagnosed.with.colour.blindness.","How.many.years..including.this.year..have.you.studied.in.an.English.language.school.university.","Do.you.play.video.games.regularly.","What.device.did.you.use.to.do.the.Stroop.test.","What.kind.of.headphones.did.you.use.","Put.these.levels.of.auditory.distraction.in.the.order.that.you.did.them.","What.was.your.first.auditory.distraction.condition.","How.many.hours.of.sleep.did.you.get.the.night.before.doing.the.Stroop.test.with.this.level.of.auditory.distraction.","At.what.time.did.you.do.the.Stroop.test.with.this.level.of.auditory.distraction.","OffTime","OnTime","Total...of.runs.Stroop.Off","Total...of.runs.Stroop.On","OnTime.minus.OffTime","What.was.your.second.auditory.distraction.condition.","How.many.hours.of.sleep.did.you.get.the.night.before.doing.the.Stroop.test.with.this.level.of.auditory.distraction.2","At.what.time.did.you.do.the.Stroop.test.with.this.level.of.auditory.distraction.2","OffTime2","OnTime2","Total...of.runs.Stroop.Off2","Total...of.runs.Stroop.On2","OnTime.minus.OffTime2","What.was.your.third.auditory.distraction.condition.","How.many.hours.of.sleep.did.you.get.the.night.before.doing.the.Stroop.test.with.this.level.of.auditory.distraction.3","At.what.time.did.you.do.the.Stroop.test.with.this.level.of.auditory.distraction.3","OffTime3","OnTime3","Total...of.runs.Stroop.Off3","Total...of.runs.Stroop.On3","OnTime.minus.OffTime3","ID"
"48","No","4","No","iPhone / iPod","Over-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","quiet","8 hrs","8 pm","56.101s","62.819s",9,7,"6.718s","Ed Sheeran - Shape of You","8 hours","8.10pm","53.515s","62.697s",8,9,"9.182s","Classical instrumental music","8 hours","8.15pm","55.162s","59.435s",7,6,"4.274s",48
"49","No","10","Yes","Android phone","Over-ear headphones; not noise cancelling","Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);Classical (Mozart);","Music with lyrics","5","7pm","60.755","74.557",5,5,"13.802","Control (Silence)","5","7pm","62.438","75.747",5,5,"13.309","Music with no lyrics","5","7pm","65.292","73.546",5,5,"8.254",49
"50","No","4","No","iPad tablet","Over-ear headphones; not noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","Quiet ","7 hours ","10:45pm","58.931s","82.433s",5,5,"23.502s","Classical instrumental music","7 hours ","11:12pm","68.291s","86.641s",5,5,"18.350s","Music with lyrics","7 hours ","11:22pm","64.307s","69.609s",5,5,"5.303s",50
"51","No","6","Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);Control (quiet);","Classical instrumental music ","7","10:00 pm","61.011s","68.933s",7,11,"7.922s","Music with lyrics ","5","9:00 am","60.08s","63.202s",7,6,"3.121s","Quiet","7","1:00 am ","56.050s","62.180s",7,6,"6.131s",51
"52","No","4","No","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","Quiet","8","7pm","64.646","68.636",5,5,"3.992","shape of you","8","7pm","65.343","70.544",5,5,"5.201","classic","8","7pm","65.637","69.957",5,5,"4.32",52
"53","No","6","Yes","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","quiet","7 hrs","6:00pm","55.64","64.575",6,5,"8.935","Music with lyrics","7","6:10pm","51.421","53.795",5,6,"2.374","Classical instrumental musi","7","6:20pm","52.127","63.934",5,5,"11.807",53
"54","No","6","Yes","iPhone / iPod","In-ear headphones; noise cancelling","Control (quiet);Classical (Mozart);Song with lyrics (Shape of You by Ed Sheeran);","control(quiet)","10","10pm","`64.852","60.342",5,5,"-4.510","classical","10","10:05pm","64.789","67.472",5,5,"2.683","song with lyrics","10","10:11pm","59.323","60.446",5,6,"1.123",54
"55","No","12","No","iPhone / iPod","In-ear headphones; not noise cancelling","","Control (Quiet)","7","2PM","62.161","78.418",5,5,"16.257","Music with lyrics (Ed Sheeran, Shape of You)","7","2.30PM","60.980","86.616",5,6,"25.636","Classical instrumental music (Mozart Piano Sonata No. 8 in A minor)","7","3PM","68.801","78.900",5,6,"10.099",55
"56","No","15","No","iPhone / iPod","In-ear headphones; not noise cancelling","Control (quiet);Song with lyrics (Shape of You by Ed Sheeran);Classical (Mozart);","Quiet","7","12PM","52.937","72.799",6,5,"19.863","Ed Sheeran Shape of You","7","12PM","64.355","65.455",5,6,"1.100","Classical Mozart Sonata","7","12PM","52.983","61.050",5,5,"8.067",56
"57","No","8","Yes","iPhone / iPod","In-ear headphones; not noise cancelling","","quiet","6","14?28","49s","52.736s",8,6,"2.836s","music with lyrics  (Ed Sheeran - shape of you)","6","14:34","42.085s","42.732s",5,6,"0.648s","music with classical music instrumental","6","14:41","43.058s","52.059s",6,11,"9.002s",57
